Var1,Var2
121.677822580645,484.241129032258
122.193548387097,485.677419354839
122.709274193548,487.113709677419
123.225,488.55
123.453921568627,488.98431372549
123.682843137255,489.41862745098
123.911764705882,489.852941176471
124.029411764706,490.823529411765
124.147058823529,491.794117647059
124.486928104575,492.407189542484
124.826797385621,493.020261437909
125.166666666667,493.633333333333
127.142156862745,494.963725490196
129.117647058824,496.294117647059
129.03081232493,496.83893557423
128.943977591036,497.383753501401
128.857142857143,497.928571428571
124.539682539683,499.269841269841
120.222222222222,500.611111111111
120.623325453113,499.442868400315
121.024428684003,498.274625689519
121.425531914894,497.106382978723
121.962765957447,494.23500967118
122.5,491.363636363636
118.460317460317,492.067821067821
114.420634920635,492.772005772006
110.380952380952,493.47619047619
111.22619047619,494.077380952381
112.071428571429,494.678571428571
112.175824175824,494.695970695971
112.28021978022,494.71336996337
112.384615384615,494.730769230769
115.625641025641,492.765384615385
118.866666666667,490.8
118.950326797386,490.337254901961
119.033986928105,489.874509803922
119.117647058824,489.411764705882
120.308823529412,488.741596638655
121.5,488.071428571429
121.711111111111,488.35873015873
121.922222222222,488.646031746032
122.133333333333,488.933333333333
122.258974358974,490.389743589744
122.384615384615,491.846153846154
122.849002849003,492.156695156695
123.31339031339,492.467236467236
123.777777777778,492.777777777778
124.460317460317,492.007936507937
125.142857142857,491.238095238095
121.195238095238,491.625396825397
117.247619047619,492.012698412698
113.3,492.4
118.35,492.625
123.4,492.85
123.139682539683,493.042857142857
122.879365079365,493.235714285714
122.619047619048,493.428571428571
117.983436853002,494.453416149068
113.347826086957,495.478260869565
113.610671936759,494.621870882741
113.873517786561,493.765480895916
114.136363636364,492.909090909091
114.831339712919,491.928229665072
115.526315789474,490.947368421053
116.959572845156,491.892448512586
118.392829900839,492.837528604119
119.826086956522,493.782608695652
119.727858293076,493.928341384863
119.62962962963,494.074074074074
122.191682910981,493.382716049383
124.753736192333,492.691358024691
127.315789473684,492
119.440503432494,491.782608695652
111.565217391304,491.565217391304
116.45256916996,491.240447957839
121.339920948617,490.915678524374
126.227272727273,490.590909090909
127.161255411255,490.604978354978
128.095238095238,490.619047619048
124.085714285714,491.479365079365
120.07619047619,492.339682539682
116.066666666667,493.2
115.842857142857,493.909523809524
115.619047619048,494.619047619048
119.12481962482,493.958152958153
122.630591630592,493.297258297258
126.136363636364,492.636363636364
118.24209486166,492.144268774704
110.347826086957,491.652173913044
110.014492753623,491.31884057971
109.68115942029,490.985507246377
109.347826086957,490.652173913044
110.923913043478,490.053359683795
112.5,489.454545454545
112.85,489.186363636364
113.2,488.918181818182
113.55,488.65
115.428846153846,489.632692307692
117.307692307692,490.615384615385
116.575498575499,490.762108262108
115.843304843305,490.908831908832
115.111111111111,491.055555555556
115.149305555556,491.527777777778
115.1875,492
115.651315789474,492.228070175439
116.115131578947,492.456140350877
116.578947368421,492.684210526316
114.718045112782,493.008771929825
112.857142857143,493.333333333333
112.71635610766,493.685990338164
112.575569358178,494.038647342995
112.434782608696,494.391304347826
114.003105590062,494.981366459627
115.571428571429,495.571428571429
119.496894409938,494.221532091097
123.422360248447,492.871635610766
127.347826086957,491.521739130435
122.423913043478,493.960869565217
117.5,496.4
117.462962962963,497.007407407407
117.425925925926,497.614814814815
117.388888888889,498.222222222222
118.905982905983,497.995726495727
120.423076923077,497.769230769231
120.407051282051,497.373931623932
120.391025641026,496.978632478632
120.375,496.583333333333
120.735119047619,495.10119047619
121.095238095238,493.619047619048
124.563492063492,493.579365079365
128.031746031746,493.539682539683
131.5,493.5
130.321428571429,492.583333333333
129.142857142857,491.666666666667
129.039682539683,491.759259259259
128.936507936508,491.851851851852
128.833333333333,491.944444444444
123.721014492754,492.754830917874
118.608695652174,493.565217391304
122.582267689685,493.455242966752
126.555839727195,493.3452685422
130.529411764706,493.235294117647
125.858455882353,493.117647058824
121.1875,493
121.888888888889,493.152777777778
122.590277777778,493.305555555556
123.291666666667,493.458333333333
122.085227272727,493.941287878788
120.878787878788,494.424242424242
120.662781662782,494.308469308469
120.446775446775,494.192696192696
120.230769230769,494.076923076923
114.032051282051,493.094017094017
107.833333333333,492.111111111111
111.472222222222,491.226851851852
115.111111111111,490.342592592593
118.75,489.458333333333
113.625,489.673611111111
108.5,489.888888888889
108.962962962963,489.851851851852
109.425925925926,489.814814814815
109.888888888889,489.777777777778
115.594444444444,488.638888888889
121.3,487.5
121.721739130435,487.260869565217
122.14347826087,487.021739130435
122.565217391304,486.782608695652
118.532608695652,491.641304347826
114.5,496.5
118.333333333333,495.5
122.166666666667,494.5
126,493.5
128.113636363636,496.75
130.227272727273,500
130.339920948617,504
130.45256916996,508
130.565217391304,512
130.966819221968,510.763157894737
131.368421052632,509.526315789474
132.481725146199,507.00365497076
133.595029239766,504.480994152047
134.708333333333,501.958333333333
131.801535087719,503.71600877193
128.894736842105,505.473684210526
128.510776942356,503.572932330827
128.126817042607,501.672180451128
127.742857142857,499.771428571429
126.521428571429,496.035714285714
125.3,492.3
125.054166666667,492.116666666667
124.808333333333,491.933333333333
124.5625,491.75
124.78125,492.625
125,493.5
125.456140350877,494.473684210526
125.912280701754,495.447368421053
126.368421052632,496.421052631579
125.996710526316,496.043859649123
125.625,495.666666666667
121.898148148148,495.62962962963
118.171296296296,495.592592592593
114.444444444444,495.555555555556
113.459064327485,494.646198830409
112.473684210526,493.736842105263
115.649122807018,493.324561403509
118.824561403509,492.912280701754
122,492.5
122.725,493.575
123.45,494.65
124.025490196078,494.707843137255
124.600980392157,494.76568627451
125.176470588235,494.823529411765
125.629901960784,494.995098039216
126.083333333333,495.166666666667
122.897660818713,495.479532163743
119.711988304094,495.792397660819
116.526315789474,496.105263157895
123.638157894737,495.852631578947
130.75,495.6
128.120689655172,496.032183908046
125.491379310345,496.464367816092
122.862068965517,496.896551724138
124.757957559682,495.025198938992
126.653846153846,493.153846153846
127.587412587413,491.9662004662
128.520979020979,490.778554778555
129.454545454545,489.590909090909
129.002272727273,490.420454545455
128.55,491.25
123.795238095238,490.785714285714
119.040476190476,490.321428571429
114.285714285714,489.857142857143
112.468944099379,488.667701863354
110.652173913043,487.478260869565
109.808115942029,487.79884057971
108.964057971015,488.119420289855
108.12,488.44
107.205833333333,490.4075
106.291666666667,492.375
110.571256038647,492.423913043478
114.850845410628,492.472826086957
119.130434782609,492.521739130435
114.474308300395,494.579051383399
109.818181818182,496.636363636364
110.281565656566,496.257575757576
110.744949494949,495.878787878788
111.208333333333,495.5
113.056547619048,495.845238095238
114.904761904762,496.190476190476
115.714285714286,497
116.52380952381,497.809523809524
117.333333333333,498.619047619048
117.89880952381,500.434523809524
118.464285714286,502.25
121.436507936508,500.515873015873
124.40873015873,498.781746031746
127.380952380952,497.047619047619
127.386128364389,497.567287784679
127.391304347826,498.086956521739
124.453852021358,500.356216628528
121.516399694889,502.625476735317
118.578947368421,504.894736842105
121.93653250774,500.800309597523
125.294117647059,496.705882352941
125.279411764706,496.616421568628
125.264705882353,496.526960784314
125.25,496.4375
125.203947368421,497.21875
125.157894736842,498
125.577485380117,497.25
125.997076023392,496.5
126.416666666667,495.75
127.570402298851,497.650862068966
128.724137931034,499.551724137931
129.67025862069,500.034482758621
130.616379310345,500.51724137931
131.5625,501
133.202302631579,503.236842105263
134.842105263158,505.473684210526
135.842105263158,505.508771929825
136.842105263158,505.543859649123
137.842105263158,505.578947368421
139.321052631579,503.94947368421
140.8,502.32
140.518181818182,501.364848484848
140.236363636364,500.409696969697
139.954545454545,499.454545454545
137.997272727273,497.727272727273
136.04,496
134.979047619048,495.238095238095
133.918095238095,494.47619047619
132.857142857143,493.714285714286
131.519480519481,492.538961038961
130.181818181818,491.363636363636
129.537878787879,488.759090909091
128.893939393939,486.154545454545
128.25,483.55
127.5,477.525
126.75,471.5
126.369565217391,470.347826086957
125.989130434783,469.195652173913
125.608695652174,468.04347826087
124.454347826087,463.021739130435
123.3,458
123.077192982456,460.982456140351
122.854385964912,463.964912280702
122.631578947368,466.947368421053
123.815789473684,464.997493734336
125,463.047619047619
126.166666666667,462.670634920635
127.333333333333,462.293650793651
128.5,461.916666666667
136.071428571429,454.422619047619
143.642857142857,446.928571428571
144.539682539683,448.963492063492
145.436507936508,450.998412698413
146.333333333333,453.033333333333
153.656462585034,450.792176870748
160.979591836735,448.551020408163
160.748299319728,448.922902494331
160.517006802721,449.294784580499
160.285714285714,449.666666666667
162.842857142857,447.05
165.4,444.433333333333
168.035897435897,442.295299145299
170.671794871795,440.157264957265
173.307692307692,438.019230769231
174.480769230769,439.269230769231
175.653846153846,440.519230769231
173.742564102564,441.492820512821
171.831282051282,442.46641025641
169.92,443.44
171.41652173913,442.437391304348
172.913043478261,441.434782608696
173.48171152519,440.7977915804
174.050379572119,440.160800552105
174.619047619048,439.52380952381
172.439958592133,438.761904761905
170.260869565217,438
168.227676484339,437.516129032258
166.19448340346,437.032258064516
164.161290322581,436.548387096774
161.18064516129,435.50752688172
158.2,434.466666666667
158.489655172414,433.816858237548
158.779310344828,433.167049808429
159.068965517241,432.51724137931
161.034482758621,430.508620689655
163,428.5
164.093333333333,424.186666666667
165.186666666667,419.873333333333
166.28,415.56
164.39,424.510769230769
162.5,433.461538461538
162.964285714286,433.986263736264
163.428571428571,434.510989010989
